cohort	n	n_events	c_mvl_obs	c_mvl_null_med	c_mvl_null_lo	c_mvl_null_hi	p_mvl	c_xgb_obs	c_xgb_null_med	c_xgb_null_lo	c_xgb_null_hi	p_xgb
MESO_OS_df017	80	68	0.724354501046755	0.498588022521172	0.419893517607712	0.58228649696091	0	0.982554082344731	0.502260929101351	0.420478507969689	0.583975580936351	0
MESO_PFI_df017	78	55	0.685542685542686	0.501565850815851	0.402676686381673	0.590184271893361	0	0.990561990561991	0.50220207207369	0.409232807502367	0.594907809704793	0
OV_DFI_df377	221	160	0.952914425156675	0.497487707743549	0.449439515235002	0.549596639971781	0	0.995285896511563	0.497326449252321	0.449105465578522	0.552278086479582	0
OV_DSS_df377	405	231	0.972251585623679	0.499476393775075	0.457541286734152	0.543812011266773	0	0.991631430584919	0.498953799173375	0.45765557139813	0.542748208448699	0
OV_OS_df377	435	271	0.966101694915254	0.499282217697776	0.456708819028818	0.539805561589697	0	0.989358328341379	0.499620309422881	0.455370453562664	0.539844689389646	0
OV_PFI_df377	435	319	0.959497145527019	0.500482050804961	0.461581805857028	0.537965873190258	0	0.987589247908423	0.499821372450321	0.460954329911052	0.536851269440018	0
PAAD_DFI_df377	69	23	0.987194412107101	0.501928135243735	0.365153545206067	0.634944411516425	0	0.9988358556461	0.500645268723201	0.364391937625283	0.636369254972469	0
PAAD_DSS_df377	175	73	0.796268140981341	0.498274507214798	0.418863420825237	0.580136881595999	0	0.999308914996545	0.499878921411558	0.419739839653784	0.576043268220118	0
PAAD_OS_df377	181	93	0.772684556750548	0.500310323552903	0.437683046880586	0.566563056191203	0	0.99968674950402	0.502547251814684	0.437604415167292	0.562081690669352	0
PAAD_PFI_df377	181	107	0.781334622823985	0.502384121242695	0.438867704321215	0.565599554027384	0	0.998452611218569	0.502159835660495	0.438936133008341	0.564749045114249	0
PCPG_PFI_df161	203	29	0.893415178571429	0.503495191296921	0.374349090779163	0.628769514304272	0	0.952566964285714	0.501890675397971	0.378433101106263	0.627383087968466	0
PRAD_DFI_df374	340	33	0.99436639310057	0.502413870386325	0.385707617625093	0.608306178650065	0	0.999443594380303	0.50239902362316	0.382008268572545	0.607647176211734	0
PRAD_PFI_df374	498	95	0.993347999161953	0.500629888611115	0.439946593164721	0.56454249831311	0	1	0.5011632003489	0.440102795936667	0.566087153443443	0
READ_OS_df160	116	26	0.996360989810771	0.499427917432907	0.37762180283732	0.615920661550488	0	0.997088791848617	0.500988376727198	0.372850712671702	0.622431110569761	0
