cohort	model	param	value
ESCA_DSS_df017	XGBoost	subsample	0.8
ESCA_DSS_df017	XGBoost	nthread	1
ESCA_DSS_df017	XGBoost	validate_parameters	TRUE
ESCA_DSS_df017	XGBoost	nrounds	500
ESCA_DSS_df017	RSF	ntree	1000
ESCA_DSS_df017	RSF	mtry	10
ESCA_DSS_df017	RSF	nodesize	15
ESCA_DSS_df017	MTLR	nintervals	default
ESCA_DSS_df017	MTLR	regularization	C1=0.1
ESCA_DSS_df017	MVL	weight_XGBoost	0.758259
ESCA_DSS_df017	MVL	weight_MTLR	0.560829
ESCA_DSS_df017	MVL	weight_RSF	0
ESCA_DSS_df017	MVL	weight_Boruta	0
ESCA_OS_df017	XGBoost	objective	survival:cox
ESCA_OS_df017	XGBoost	eval_metric	cox-nloglik
ESCA_OS_df017	XGBoost	eta	0.05
ESCA_OS_df017	XGBoost	max_depth	4
ESCA_OS_df017	XGBoost	min_child_weight	3
ESCA_OS_df017	XGBoost	subsample	0.8
ESCA_OS_df017	XGBoost	nthread	1
ESCA_OS_df017	XGBoost	validate_parameters	TRUE
ESCA_OS_df017	XGBoost	nrounds	500
ESCA_OS_df017	RSF	ntree	1000
ESCA_OS_df017	RSF	mtry	10
ESCA_OS_df017	RSF	nodesize	15
ESCA_OS_df017	MTLR	nintervals	default
ESCA_OS_df017	MTLR	regularization	C1=1
ESCA_OS_df017	MVL	weight_XGBoost	0.68335
ESCA_OS_df017	MVL	weight_MTLR	0.243929
ESCA_OS_df017	MVL	weight_Boruta	0.094892
ESCA_OS_df017	MVL	weight_RSF	0.018819
ESCA_PFI_df017	XGBoost	objective	survival:cox
ESCA_PFI_df017	XGBoost	eval_metric	cox-nloglik
ESCA_PFI_df017	XGBoost	eta	0.05
ESCA_PFI_df017	XGBoost	max_depth	4
ESCA_PFI_df017	XGBoost	min_child_weight	3
ESCA_PFI_df017	XGBoost	subsample	0.8
ESCA_PFI_df017	XGBoost	nthread	1
ESCA_PFI_df017	XGBoost	validate_parameters	TRUE
ESCA_PFI_df017	XGBoost	nrounds	500
ESCA_PFI_df017	RSF	ntree	1000
ESCA_PFI_df017	RSF	mtry	10
ESCA_PFI_df017	RSF	nodesize	15
ESCA_PFI_df017	MTLR	nintervals	default
ESCA_PFI_df017	MTLR	regularization	C1=10
ESCA_PFI_df017	MVL	weight_XGBoost	7.743751
ESCA_PFI_df017	MVL	weight_RSF	0.440306
ESCA_PFI_df017	MVL	weight_Boruta	-0.044521
ESCA_PFI_df017	MVL	weight_MTLR	0
GBM_DSS_df017	XGBoost	objective	survival:cox
GBM_DSS_df017	XGBoost	eval_metric	cox-nloglik
GBM_DSS_df017	XGBoost	eta	0.05
GBM_DSS_df017	XGBoost	max_depth	4
GBM_DSS_df017	XGBoost	min_child_weight	3
GBM_DSS_df017	XGBoost	subsample	0.8
GBM_DSS_df017	XGBoost	nthread	1
GBM_DSS_df017	XGBoost	validate_parameters	TRUE
GBM_DSS_df017	XGBoost	nrounds	500
GBM_DSS_df017	RSF	ntree	1000
GBM_DSS_df017	RSF	mtry	17
GBM_DSS_df017	RSF	nodesize	15
GBM_DSS_df017	MTLR	nintervals	default
GBM_DSS_df017	MTLR	regularization	C1=0.1
GBM_DSS_df017	MVL	weight_XGBoost	5.536086
GBM_DSS_df017	MVL	weight_Boruta	0.338614
GBM_DSS_df017	MVL	weight_MTLR	0.229218
GBM_DSS_df017	MVL	weight_RSF	-0.126462
GBM_OS_df017	XGBoost	objective	survival:cox
GBM_OS_df017	XGBoost	eval_metric	cox-nloglik
